iter	Passed	Remaining
0	162	162636
1	170	84953
2	176	58771
3	182	45523
4	189	37651
5	195	32371
6	201	28530
7	207	25674
8	212	23384
9	217	21570
10	223	20050
11	228	18828
12	234	17786
13	239	16880
14	244	16083
15	249	15370
16	255	14762
17	260	14224
18	266	13735
19	272	13335
20	278	12994
21	284	12656
22	290	12340
23	296	12038
24	301	11770
25	307	11505
26	312	11266
27	317	11036
28	323	10816
29	328	10609
30	333	10436
31	339	10264
32	345	10113
33	352	10008
34	360	9942
35	367	9844
36	375	9776
37	383	9714
38	390	9624
39	397	9540
40	403	9439
41	409	9334
42	415	9239
43	421	9151
44	425	9040
45	431	8940
46	436	8854
47	442	8770
48	447	8690
49	453	8611
50	458	8530
51	463	8454
52	469	8381
53	474	8309
54	479	8238
55	485	8177
56	490	8115
57	495	8053
58	501	7991
59	506	7933
60	511	7874
61	517	7824
62	522	7776
63	528	7724
64	533	7674
65	538	7623
66	543	7573
67	549	7526
68	554	7478
69	559	7439
70	565	7400
71	571	7362
72	576	7325
73	582	7293
74	588	7258
75	594	7224
76	599	7184
77	604	7147
78	609	7110
79	615	7075
80	620	7040
81	625	7005
82	630	6969
83	635	6935
84	641	6903
85	646	6871
86	651	6837
87	656	6806
88	661	6774
89	667	6746
90	672	6719
91	678	6692
92	683	6663
93	688	6636
94	694	6611
95	699	6585
96	704	6557
97	709	6534
98	715	6511
99	720	6485
100	725	6460
101	731	6443
102	737	6421
103	743	6403
104	748	6380
105	754	6360
106	759	6339
107	764	6315
108	769	6294
109	775	6272
110	780	6251
111	785	6231
112	791	6212
113	797	6196
114	803	6180
115	808	6161
116	813	6141
117	819	6125
118	824	6107
119	830	6088
120	835	6066
121	840	6047
122	845	6028
123	851	6012
124	856	5993
125	861	5973
126	866	5953
127	871	5936
128	876	5919
129	882	5905
130	887	5887
131	893	5873
132	899	5864
133	905	5851
134	910	5836
135	916	5822
136	921	5805
137	928	5797
138	942	5838
139	950	5837
140	957	5832
141	963	5818
142	969	5812
143	975	5801
144	981	5790
145	987	5778
146	993	5763
147	998	5748
148	1004	5736
149	1010	5723
150	1015	5707
151	1020	5692
152	1025	5678
153	1031	5663
154	1036	5650
155	1041	5635
156	1047	5624
157	1053	5614
158	1059	5602
159	1064	5589
160	1070	5576
161	1075	5563
162	1081	5555
163	1088	5547
164	1093	5535
165	1099	5524
166	1105	5512
167	1110	5501
168	1116	5490
169	1122	5480
170	1128	5469
171	1133	5458
172	1139	5448
173	1145	5436
174	1150	5423
175	1156	5412
176	1161	5400
177	1166	5387
178	1171	5375
179	1177	5361
180	1182	5350
181	1188	5340
182	1194	5331
183	1200	5322
184	1205	5312
185	1211	5302
186	1217	5292
187	1222	5280
188	1227	5268
189	1233	5257
190	1238	5246
191	1243	5234
192	1250	5229
193	1257	5224
194	1263	5214
195	1269	5205
196	1275	5198
197	1280	5188
198	1286	5179
199	1292	5169
200	1298	5163
201	1305	5156
202	1311	5149
203	1317	5140
204	1323	5131
205	1329	5122
206	1334	5112
207	1340	5102
208	1345	5093
209	1351	5083
210	1356	5072
211	1361	5060
212	1367	5052
213	1373	5045
214	1379	5037
215	1385	5029
216	1391	5021
217	1397	5013
218	1403	5006
219	1409	4998
220	1415	4988
221	1420	4979
222	1426	4970
223	1432	4962
224	1437	4952
225	1443	4944
226	1449	4936
227	1455	4927
228	1461	4918
229	1466	4911
230	1472	4901
231	1477	4892
232	1483	4884
233	1489	4875
234	1494	4866
235	1500	4857
236	1508	4855
237	1516	4855
238	1523	4850
239	1529	4844
240	1535	4837
241	1542	4831
242	1548	4824
243	1554	4816
244	1560	4808
245	1565	4798
246	1570	4788
247	1576	4779
248	1582	4771
249	1587	4762
250	1593	4754
251	1599	4746
252	1611	4758
253	1617	4750
254	1623	4742
255	1628	4734
256	1634	4725
257	1640	4717
258	1646	4711
259	1652	4702
260	1657	4693
261	1662	4684
262	1668	4675
263	1673	4666
264	1679	4658
265	1684	4649
266	1690	4641
267	1696	4634
268	1702	4626
269	1707	4617
270	1713	4609
271	1720	4604
272	1726	4597
273	1731	4588
274	1737	4579
275	1742	4570
276	1747	4562
277	1753	4553
278	1758	4544
279	1763	4535
280	1769	4526
281	1774	4518
282	1780	4510
283	1785	4502
284	1792	4496
285	1798	4489
286	1803	4480
287	1809	4472
288	1814	4464
289	1820	4458
290	1826	4451
291	1833	4444
292	1838	4436
293	1844	4429
294	1850	4422
295	1855	4413
296	1861	4405
297	1866	4397
298	1872	4389
299	1877	4381
300	1883	4373
301	1889	4367
302	1894	4358
303	1900	4350
304	1905	4342
305	1911	4335
306	1916	4327
307	1922	4320
308	1929	4314
309	1935	4307
310	1940	4299
311	1947	4293
312	1952	4285
313	1957	4277
314	1963	4268
315	1968	4260
316	1973	4252
317	1979	4245
318	1984	4237
319	1990	4229
320	1996	4222
321	2001	4214
322	2007	4208
323	2013	4201
324	2019	4194
325	2025	4188
326	2031	4180
327	2036	4172
328	2043	4167
329	2049	4161
330	2056	4155
331	2062	4148
332	2068	4142
333	2073	4135
334	2079	4128
335	2087	4125
336	2095	4123
337	2102	4118
338	2109	4113
339	2116	4108
340	2123	4103
341	2129	4097
342	2135	4089
343	2140	4082
344	2147	4077
345	2153	4070
346	2159	4064
347	2164	4056
348	2170	4049
349	2176	4042
350	2182	4035
351	2187	4027
352	2193	4020
353	2199	4013
354	2205	4006
355	2212	4002
356	2218	3996
357	2226	3992
358	2232	3986
359	2238	3980
360	2245	3973
361	2251	3968
362	2258	3963
363	2264	3956
364	2269	3948
365	2274	3940
366	2280	3933
367	2286	3927
368	2292	3920
369	2298	3913
370	2304	3906
371	2310	3900
372	2316	3894
373	2323	3889
374	2331	3886
375	2337	3879
376	2344	3874
377	2350	3868
378	2356	3861
379	2363	3855
380	2369	3849
381	2375	3842
382	2380	3834
383	2386	3829
384	2392	3822
385	2398	3815
386	2404	3809
387	2410	3801
388	2415	3794
389	2421	3787
390	2426	3779
391	2431	3771
392	2437	3764
393	2442	3756
394	2448	3749
395	2453	3741
396	2458	3734
397	2464	3728
398	2470	3720
399	2475	3713
400	2481	3706
401	2487	3699
402	2493	3693
403	2498	3685
404	2503	3678
405	2509	3672
406	2515	3665
407	2521	3658
408	2526	3651
409	2531	3643
410	2537	3635
411	2542	3629
412	2548	3621
413	2553	3614
414	2559	3607
415	2565	3600
416	2571	3594
417	2577	3588
418	2582	3581
419	2589	3576
420	2596	3571
421	2602	3565
422	2608	3558
423	2614	3551
424	2619	3544
425	2625	3537
426	2630	3529
427	2636	3522
428	2641	3515
429	2646	3508
430	2652	3501
431	2657	3494
432	2663	3488
433	2669	3481
434	2674	3474
435	2681	3468
436	2687	3462
437	2694	3457
438	2703	3454
439	2709	3448
440	2717	3444
441	2723	3438
442	2729	3431
443	2735	3425
444	2740	3418
445	2746	3411
446	2752	3404
447	2757	3398
448	2763	3391
449	2768	3384
450	2774	3376
451	2779	3369
452	2785	3363
453	2791	3356
454	2797	3351
455	2803	3344
456	2809	3338
457	2815	3331
458	2820	3324
459	2826	3317
460	2831	3310
461	2836	3303
462	2842	3296
463	2847	3289
464	2853	3283
465	2859	3276
466	2864	3269
467	2870	3262
468	2877	3257
469	2884	3252
470	2891	3247
471	2898	3242
472	2906	3237
473	2912	3231
474	2918	3226
475	2925	3220
476	2930	3213
477	2936	3207
478	2942	3200
479	2947	3193
480	2954	3187
481	2960	3182
482	2966	3175
483	2972	3168
484	2978	3162
485	2985	3157
486	2992	3152
487	2999	3146
488	3005	3140
489	3012	3135
490	3019	3129
491	3025	3124
492	3032	3118
493	3038	3112
494	3044	3105
495	3049	3099
496	3055	3092
497	3061	3086
498	3068	3080
499	3074	3074
500	3080	3068
501	3087	3063
502	3094	3057
503	3100	3051
504	3108	3046
505	3115	3041
506	3122	3035
507	3128	3030
508	3135	3024
509	3142	3018
510	3148	3012
511	3154	3006
512	3161	3000
513	3166	2994
514	3173	2988
515	3180	2983
516	3186	2977
517	3193	2971
518	3200	2966
519	3207	2961
520	3214	2955
521	3221	2950
522	3228	2944
523	3234	2938
524	3241	2932
525	3247	2926
526	3254	2920
527	3260	2914
528	3266	2908
529	3272	2902
530	3279	2896
531	3285	2890
532	3293	2885
533	3301	2881
534	3309	2876
535	3316	2871
536	3323	2865
537	3330	2860
538	3337	2854
539	3344	2849
540	3351	2843
541	3358	2837
542	3364	2831
543	3370	2825
544	3377	2819
545	3383	2813
546	3388	2806
547	3395	2800
548	3401	2794
549	3408	2788
550	3414	2782
551	3420	2775
552	3426	2769
553	3432	2763
554	3437	2756
555	3443	2749
556	3449	2743
557	3455	2736
558	3460	2729
559	3466	2723
560	3471	2716
561	3477	2710
562	3483	2703
563	3488	2696
564	3494	2690
565	3500	2683
566	3506	2677
567	3512	2671
568	3518	2665
569	3525	2659
570	3531	2653
571	3538	2647
572	3544	2641
573	3550	2635
574	3555	2628
575	3561	2621
576	3567	2615
577	3572	2608
578	3578	2601
579	3584	2595
580	3590	2589
581	3595	2582
582	3601	2575
583	3606	2569
584	3612	2562
585	3634	2567
586	3640	2561
587	3646	2554
588	3652	2548
589	3658	2542
590	3664	2536
591	3670	2529
592	3675	2522
593	3681	2516
594	3687	2509
595	3692	2503
596	3698	2496
597	3703	2489
598	3709	2483
599	3715	2477
600	3721	2470
601	3728	2465
602	3734	2458
603	3742	2453
604	3748	2447
605	3754	2441
606	3760	2435
607	3767	2429
608	3775	2423
609	3781	2417
610	3788	2411
611	3795	2406
612	3802	2400
613	3809	2394
614	3815	2388
615	3821	2382
616	3827	2375
617	3834	2369
618	3840	2364
619	3846	2357
620	3852	2351
621	3858	2344
622	3865	2338
623	3871	2332
624	3878	2326
625	3896	2327
626	3903	2322
627	3910	2316
628	3916	2310
629	3922	2303
630	3930	2298
631	3938	2293
632	3945	2287
633	3952	2281
634	3960	2276
635	3966	2270
636	3973	2264
637	3980	2258
638	3986	2251
639	3992	2245
640	3997	2238
641	4003	2232
642	4009	2226
643	4015	2219
644	4020	2213
645	4026	2206
646	4033	2200
647	4040	2194
648	4046	2188
649	4052	2181
650	4058	2175
651	4064	2169
652	4070	2163
653	4077	2157
654	4084	2151
655	4091	2145
656	4097	2139
657	4104	2133
658	4112	2127
659	4119	2121
660	4125	2116
661	4132	2109
662	4139	2104
663	4146	2098
664	4153	2092
665	4159	2086
666	4167	2080
667	4173	2074
668	4180	2068
669	4188	2062
670	4194	2056
671	4200	2050
672	4207	2044
673	4214	2038
674	4219	2031
675	4226	2025
676	4233	2019
677	4239	2013
678	4247	2007
679	4253	2001
680	4259	1995
681	4266	1989
682	4273	1983
683	4281	1978
684	4290	1972
685	4297	1967
686	4303	1960
687	4310	1954
688	4317	1948
689	4323	1942
690	4330	1936
691	4336	1930
692	4343	1924
693	4349	1917
694	4354	1911
695	4361	1904
696	4367	1898
697	4374	1892
698	4380	1886
699	4386	1879
700	4393	1873
701	4400	1867
702	4406	1861
703	4413	1855
704	4420	1849
705	4427	1843
706	4434	1837
707	4441	1831
708	4448	1825
709	4454	1819
710	4460	1812
711	4466	1806
712	4472	1800
713	4479	1794
714	4485	1787
715	4490	1781
716	4497	1775
717	4504	1769
718	4509	1762
719	4518	1757
720	4524	1750
721	4530	1744
722	4535	1737
723	4541	1731
724	4548	1725
725	4553	1718
726	4560	1712
727	4567	1706
728	4572	1699
729	4578	1693
730	4585	1687
731	4593	1681
732	4600	1675
733	4608	1670
734	4615	1664
735	4622	1658
736	4630	1652
737	4637	1646
738	4644	1640
739	4651	1634
740	4658	1628
741	4665	1622
742	4672	1616
743	4679	1610
744	4685	1603
745	4691	1597
746	4697	1590
747	4704	1584
748	4710	1578
749	4716	1572
750	4722	1565
751	4728	1559
752	4733	1552
753	4739	1546
754	4745	1539
755	4751	1533
756	4758	1527
757	4764	1521
758	4770	1514
759	4777	1508
760	4784	1502
761	4790	1496
762	4797	1490
763	4804	1484
764	4811	1478
765	4818	1471
766	4824	1465
767	4830	1459
768	4837	1453
769	4843	1446
770	4849	1440
771	4856	1434
772	4863	1428
773	4870	1422
774	4876	1415
775	4882	1409
776	4889	1403
777	4895	1396
778	4902	1390
779	4909	1384
780	4916	1378
781	4923	1372
782	4930	1366
783	4938	1360
784	4945	1354
785	4952	1348
786	4958	1342
787	4965	1335
788	4972	1329
789	4978	1323
790	4985	1317
791	4991	1311
792	4998	1304
793	5006	1298
794	5012	1292
795	5018	1286
796	5025	1280
797	5032	1273
798	5039	1267
799	5046	1261
800	5052	1255
801	5058	1248
802	5064	1242
803	5070	1236
804	5076	1229
805	5081	1223
806	5088	1216
807	5095	1210
808	5102	1204
809	5109	1198
810	5116	1192
811	5122	1186
812	5129	1179
813	5135	1173
814	5142	1167
815	5148	1160
816	5155	1154
817	5162	1148
818	5168	1142
819	5175	1135
820	5180	1129
821	5186	1123
822	5192	1116
823	5197	1110
824	5203	1103
825	5208	1097
826	5214	1090
827	5219	1084
828	5225	1077
829	5230	1071
830	5236	1064
831	5242	1058
832	5247	1052
833	5253	1045
834	5259	1039
835	5266	1033
836	5273	1027
837	5281	1020
838	5287	1014
839	5295	1008
840	5301	1002
841	5307	995
842	5314	989
843	5320	983
844	5326	976
845	5331	970
846	5338	964
847	5344	957
848	5349	951
849	5355	945
850	5360	938
851	5365	932
852	5371	925
853	5376	919
854	5382	912
855	5387	906
856	5392	899
857	5398	893
858	5404	887
859	5409	880
860	5414	874
861	5420	867
862	5425	861
863	5431	854
864	5437	848
865	5442	842
866	5449	835
867	5456	829
868	5462	823
869	5468	817
870	5475	811
871	5482	804
872	5488	798
873	5495	792
874	5501	785
875	5508	779
876	5515	773
877	5521	767
878	5528	761
879	5534	754
880	5541	748
881	5548	742
882	5554	736
883	5561	729
884	5567	723
885	5574	717
886	5580	710
887	5587	704
888	5594	698
889	5600	692
890	5607	685
891	5613	679
892	5618	673
893	5624	666
894	5630	660
895	5636	654
896	5643	648
897	5649	641
898	5656	635
899	5665	629
900	5672	623
901	5678	616
902	5685	610
903	5691	604
904	5697	598
905	5703	591
906	5709	585
907	5714	579
908	5720	572
909	5726	566
910	5731	559
911	5738	553
912	5745	547
913	5752	541
914	5759	535
915	5767	528
916	5773	522
917	5779	516
918	5785	509
919	5791	503
920	5797	497
921	5803	490
922	5809	484
923	5814	478
924	5820	471
925	5825	465
926	5831	459
927	5838	452
928	5844	446
929	5850	440
930	5857	434
931	5863	427
932	5869	421
933	5876	415
934	5883	408
935	5890	402
936	5896	396
937	5902	390
938	5909	383
939	5915	377
940	5921	371
941	5927	364
942	5933	358
943	5939	352
944	5944	345
945	5950	339
946	5956	333
947	5961	327
948	5967	320
949	5973	314
950	5981	308
951	5987	301
952	5994	295
953	6001	289
954	6007	283
955	6013	276
956	6019	270
957	6024	264
958	6029	257
959	6035	251
960	6040	245
961	6045	238
962	6051	232
963	6057	226
964	6062	219
965	6069	213
966	6074	207
967	6080	201
968	6085	194
969	6091	188
970	6097	182
971	6102	175
972	6108	169
973	6114	163
974	6120	156
975	6127	150
976	6133	144
977	6139	138
978	6144	131
979	6150	125
980	6156	119
981	6162	112
982	6167	106
983	6174	100
984	6180	94
985	6186	87
986	6191	81
987	6197	75
988	6203	68
989	6209	62
990	6214	56
991	6219	50
992	6225	43
993	6230	37
994	6237	31
995	6244	25
996	6250	18
997	6256	12
998	6282	6
999	6288	0
